before_image_id,after_image_id,pair_type,before_soma_area_mean,before_circularity_mean,before_neurite_length,before_branch_count,before_neurite_density,after_soma_area_mean,after_circularity_mean,after_neurite_length,after_branch_count,after_neurite_density,delta_soma_area_mean,delta_circularity_mean,delta_neurite_length,delta_branch_count,delta_neurite_density,dish,label,is_synthetic
d1_t00_ph035,d1_t04_ph296,real_longitudinal,1052.25,0.16885434411094202,559,59,0.13281064385839866,671.6,0.22860543656163376,521,32,0.15515187611673614,-380.65,0.05975109245069174,-38.0,-27.0,0.02234123225833748,1,4.0,False
d1_t00_ph036,d1_t04_ph299,real_longitudinal,2055.5,0.276693736932951,348,40,0.08465093651179761,234.375,0.30986531793603045,365,18,0.19466666666666665,-1821.125,0.03317158100307943,17.0,-22.0,0.11001573015486904,1,4.0,False
d1_t00_ph037,d1_t04_ph307,real_longitudinal,1902.0,0.22829759337291416,508,58,0.13354363827549948,619.0,0.36698389615454463,291,26,0.11752827140549273,-1283.0,0.13868630278163047,-217.0,-32.0,-0.01601536687000675,1,4.0,False
d1_t00_ph038,d1_t04_ph293,real_longitudinal,3827.0,0.3297054922693412,250,32,0.06532532009406847,365.75,0.475341363556841,202,18,0.13807245386192754,-3461.25,0.14563587128749977,-48.0,-14.0,0.07274713376785907,1,4.0,False
d1_t00_ph039,d1_t04_ph285,real_longitudinal,1379.6666666666667,0.2848614197658163,517,58,0.12490939840541193,366.14285714285717,0.373105569604324,350,35,0.13655872024970736,-1013.5238095238096,0.0882441498385077,-167.0,-23.0,0.01164932184429543,1,4.0,False
d1_t00_ph040,d1_t04_ph304,real_longitudinal,4230.0,0.3427968036218172,302,43,0.07139479905437353,415.3333333333333,0.3086687399663804,373,44,0.14967897271268057,-3814.6666666666665,-0.0341280636554368,71.0,1.0,0.07828417365830705,1,4.0,False
d1_t00_ph041,d1_t04_ph298,real_longitudinal,1671.6666666666667,0.31174474001680935,446,46,0.08893320039880359,550.5,0.4487975835727461,372,39,0.11262488646684832,-1121.1666666666667,0.13705284355593672,-74.0,-7.0,0.023691686068044726,1,4.0,False
d1_t00_ph042,d1_t04_ph300,real_longitudinal,1951.5,0.10827783254080334,441,52,0.11299000768639508,301.7142857142857,0.38489636804655986,316,9,0.14962121212121213,-1649.7857142857142,0.27661853550575655,-125.0,-43.0,0.036631204434817044,1,4.0,False
d1_t00_ph043,d1_t04_ph283,real_longitudinal,3813.0,0.18160464655545497,366,51,0.0959874114870181,271.25,0.37359629505577974,318,20,0.14654377880184333,-3541.75,0.19199164850032477,-48.0,-31.0,0.050556367314825226,1,4.0,False
d1_t00_ph044,d1_t04_ph289,real_longitudinal,3687.0,0.18144135739649622,234,20,0.06346623270951994,385.57142857142856,0.27291058621566333,416,26,0.1541311596887736,-3301.4285714285716,0.09146922881916711,182.0,6.0,0.09066492697925367,1,4.0,False
d1_t00_ph001,d1_t06_ph400,real_longitudinal,457.3333333333333,0.27338908453121774,450,16,0.16399416909620992,371.6666666666667,0.22500391216325413,408,37,0.18295964125560538,-85.66666666666663,-0.04838517236796361,-42.0,21.0,0.018965472159395452,1,6.0,False
d1_t00_ph002,d1_t06_ph401,real_longitudinal,398.3333333333333,0.2961673893814096,331,5,0.1384937238493724,272.3333333333333,0.3839931971269599,239,4,0.14626682986536108,-126.0,0.08782580774555032,-92.0,-1.0,0.0077731060159886844,1,6.0,False
d1_t00_ph003,d1_t06_ph393,real_longitudinal,1938.0,0.31512917229421217,587,98,0.15144478844169246,689.2,0.27514776915693057,529,48,0.1535113174695299,-1248.8,-0.0399814031372816,-58.0,-50.0,0.002066529027837438,1,6.0,False
d1_t00_ph004,d1_t06_ph400,real_longitudinal,3371.0,0.08856739498325586,378,24,0.11213289824977751,371.6666666666667,0.22500391216325413,408,37,0.18295964125560538,-2999.3333333333335,0.13643651717999827,30.0,13.0,0.07082674300582786,1,6.0,False
d1_t00_ph005,d1_t06_ph401,real_longitudinal,926.75,0.2647269407386085,412,45,0.11114108443485297,272.3333333333333,0.3839931971269599,239,4,0.14626682986536108,-654.4166666666667,0.11926625638835142,-173.0,-41.0,0.0351257454305081,1,6.0,False
d1_t00_ph006,d1_t06_ph392,real_longitudinal,714.0,0.36884309671320625,472,36,0.13221288515406163,835.6,0.1607063248662725,581,47,0.13906175203446625,121.60000000000002,-0.20813677184693374,109.0,11.0,0.006848866880404619,1,6.0,False
