image_id,dish,day,label,soma_area_mean,circularity_mean,neurite_length,branch_count,neurite_density
d1_t12_ph768,1,12,12.0,634.4,0.2945007296910326,417,27,0.13146279949558637
d1_t12_ph769,1,12,12.0,1023.3333333333334,0.24983461976897012,442,44,0.14397394136807817
d1_t12_ph770,1,12,12.0,427.8333333333333,0.265055094363323,403,9,0.15699259836384885
d1_t12_ph771,1,12,12.0,751.5,0.28292863358581755,503,54,0.167332002661344
d1_t12_ph772,1,12,12.0,320.7142857142857,0.35128945239877035,333,18,0.14832962138084632
d1_t12_ph773,1,12,12.0,464.85714285714283,0.3021551277772008,478,32,0.14689612784265518
d1_t12_ph774,1,12,12.0,354.1666666666667,0.45098704917819926,267,10,0.12564705882352942
d1_t12_ph775,1,12,12.0,522.3333333333334,0.3980077340676525,410,41,0.13082322910019145
d1_t12_ph776,1,12,12.0,364.5,0.3159040416769401,423,31,0.14506172839506173
d1_t14_ph017,1,14,14.0,335.57142857142856,0.4693038599284078,264,10,0.1123882503192848
d1_t14_ph877,1,14,14.0,694.75,0.2523492602479991,378,26,0.13602015113350127
d1_t14_ph878,1,14,14.0,625.0,0.3630451112446739,321,24,0.10272
d1_t14_ph879,1,14,14.0,1148.0,0.22012435962409435,516,67,0.14982578397212543
d1_t14_ph880,1,14,14.0,650.2,0.23009264219634856,486,46,0.1494924638572747
d1_t14_ph881,1,14,14.0,590.2,0.24889633100664374,439,29,0.14876313114198578
d1_t14_ph882,1,14,14.0,313.8888888888889,0.4307078269788626,362,17,0.12814159292035399
d1_t14_ph883,1,14,14.0,1225.3333333333333,0.41925832221332987,392,54,0.10663764961915125
d1_t14_ph884,1,14,14.0,775.75,0.28709101484205507,430,46,0.13857557202707058
d1_t14_ph885,1,14,14.0,421.0,0.3284158159568913,470,37,0.13954869358669833
d1_t14_ph886,1,14,14.0,349.6666666666667,0.37440329212828327,428,22,0.13600254210359072
d1_t14_ph887,1,14,14.0,458.25,0.3489212237004333,470,38,0.1282051282051282
d1_t14_ph888,1,14,14.0,516.0,0.2572011198099253,437,39,0.14114987080103358
d1_t14_ph889,1,14,14.0,909.5,0.33963927625475115,474,47,0.1302913688840022
d1_t14_ph890,1,14,14.0,329.875,0.4527237004381922,358,17,0.13565744600227359
d1_t14_ph891,1,14,14.0,1156.0,0.187194618395187,368,23,0.1061130334486736
d1_t14_ph892,1,14,14.0,302.44444444444446,0.42739581192687803,394,28,0.14474650991917706
d1_t14_ph893,1,14,14.0,1190.3333333333333,0.14546128647904544,470,49,0.13161579389526742
d1_t14_ph894,1,14,14.0,536.2857142857143,0.42818677204113165,552,69,0.14704315396909962
d1_t14_ph895,1,14,14.0,490.0,0.388754802731917,290,13,0.09863945578231292
d1_t14_ph896,1,14,14.0,518.1666666666666,0.3440518244645321,425,50,0.13669990350595046
d1_t14_ph897,1,14,14.0,739.5,0.31315071324913335,141,15,0.09533468559837728
d1_t14_ph898,1,14,14.0,473.3333333333333,0.3735352194279331,350,19,0.12323943661971831
d1_t14_ph899,1,14,14.0,718.8,0.37720696861634273,440,37,0.12242626599888703
d1_t14_ph900,1,14,14.0,945.3333333333334,0.3096253196034038,331,29,0.11671368124118477
d1_t14_ph901,1,14,14.0,444.7142857142857,0.3528748660817768,382,9,0.12271121105043367
d1_t14_ph902,1,14,14.0,358.3333333333333,0.3745157558893127,298,12,0.1386046511627907
d1_t14_ph903,1,14,14.0,436.42857142857144,0.37940114025691934,406,17,0.13289689034369886
d1_t14_ph904,1,14,14.0,456.57142857142856,0.43491404429597863,464,30,0.14518147684605756
d1_t14_ph905,1,14,14.0,520.3333333333334,0.24491408109575305,575,39,0.18417680973734785
d1_t14_ph906,1,14,14.0,368.42857142857144,0.334535007726981,383,25,0.1485071733229934
d1_t14_ph907,1,14,14.0,519.0,0.37143631307868424,308,19,0.1186897880539499
d1_t14_ph908,1,14,14.0,272.44444444444446,0.45990133855540233,328,16,0.13376835236541598
d1_t14_ph909,1,14,14.0,239.33333333333334,0.4165671954328797,343,33,0.15923862581244197
d1_t14_ph910,1,14,14.0,473.8,0.3292243312068809,332,34,0.14014352047277331
d1_t14_ph911,1,14,14.0,337.44444444444446,0.39695661344950917,415,14,0.1366480079025354
d1_t14_ph912,1,14,14.0,715.6,0.35094619001669153,437,10,0.12213527110117384
d1_t14_ph913,1,14,14.0,1164.0,0.30167841514700433,227,20,0.0975085910652921
d1_t14_ph914,1,14,14.0,792.25,0.41251305350046974,244,14,0.0769958977595456
